,graph,size,metric,time,error
440,watts_strogatz,40,closeness,0.0013031959533691406,
441,watts_strogatz,40,eigenvector,0.01124882698059082,
442,watts_strogatz,40,pagerank,0.00650477409362793,
443,watts_strogatz,40,harmonic,0.0019385814666748047,
444,watts_strogatz,50,degree,0.0001881122589111328,
445,watts_strogatz,50,betweenness,0.0043141841888427734,
446,watts_strogatz,50,closeness,0.0012938976287841797,
447,watts_strogatz,50,eigenvector,0.018915891647338867,
448,watts_strogatz,50,pagerank,0.005712985992431641,
449,watts_strogatz,50,harmonic,0.003053426742553711,
450,watts_strogatz,60,degree,0.00024366378784179688,
451,watts_strogatz,60,betweenness,0.004193305969238281,
452,watts_strogatz,60,closeness,0.0027506351470947266,
453,watts_strogatz,60,eigenvector,0.046173810958862305,
454,watts_strogatz,60,pagerank,0.005979776382446289,
455,watts_strogatz,60,harmonic,0.004207134246826172,
456,watts_strogatz,70,degree,0.00025916099548339844,
457,watts_strogatz,70,betweenness,0.012984752655029297,
458,watts_strogatz,70,closeness,0.0032110214233398438,
459,watts_strogatz,70,eigenvector,0.03267812728881836,
460,watts_strogatz,70,pagerank,0.0055124759674072266,
461,watts_strogatz,70,harmonic,0.003331899642944336,
462,watts_strogatz,80,degree,0.0002841949462890625,
463,watts_strogatz,80,betweenness,0.010145425796508789,
464,watts_strogatz,80,closeness,0.0047168731689453125,
465,watts_strogatz,80,eigenvector,0.03329634666442871,
466,watts_strogatz,80,pagerank,0.00562596321105957,
467,watts_strogatz,80,harmonic,0.006403207778930664,
468,watts_strogatz,90,degree,0.0003097057342529297,
469,watts_strogatz,90,betweenness,0.020085811614990234,
470,watts_strogatz,90,closeness,0.0039501190185546875,
471,watts_strogatz,90,eigenvector,0.09678244590759277,
472,watts_strogatz,90,pagerank,0.0062198638916015625,
473,watts_strogatz,90,harmonic,0.007901668548583984,
474,watts_strogatz,100,degree,0.00034928321838378906,
475,watts_strogatz,100,betweenness,0.018315553665161133,
476,watts_strogatz,100,closeness,0.004816293716430664,
477,watts_strogatz,100,eigenvector,0.08621668815612793,
478,watts_strogatz,100,pagerank,0.005669593811035156,
479,watts_strogatz,100,harmonic,0.008470296859741211,
480,barabasi_albert,10,degree,6.413459777832031e-05,
481,barabasi_albert,10,betweenness,0.00032901763916015625,
482,barabasi_albert,10,closeness,0.00015854835510253906,
483,barabasi_albert,10,eigenvector,0.0004296302795410156,
484,barabasi_albert,10,pagerank,0.004893302917480469,
485,barabasi_albert,10,harmonic,0.00031447410583496094,
486,barabasi_albert,20,degree,0.0001068115234375,
487,barabasi_albert,20,betweenness,0.001302957534790039,
488,barabasi_albert,20,closeness,0.0004215240478515625,
489,barabasi_albert,20,eigenvector,0.0007317066192626953,
490,barabasi_albert,20,pagerank,0.004220485687255859,
491,barabasi_albert,20,harmonic,0.000713348388671875,
492,barabasi_albert,30,degree,0.00015473365783691406,
493,barabasi_albert,30,betweenness,0.0029709339141845703,
494,barabasi_albert,30,closeness,0.0008656978607177734,
495,barabasi_albert,30,eigenvector,0.0019524097442626953,
496,barabasi_albert,30,pagerank,0.0036630630493164062,
497,barabasi_albert,30,harmonic,0.0011789798736572266,
498,barabasi_albert,40,degree,0.00020074844360351562,
499,barabasi_albert,40,betweenness,0.005682945251464844,
500,barabasi_albert,40,closeness,0.0014286041259765625,
501,barabasi_albert,40,eigenvector,0.002400636672973633,
502,barabasi_albert,40,pagerank,0.0046613216400146484,
503,barabasi_albert,40,harmonic,0.0019075870513916016,
504,barabasi_albert,50,degree,0.0002989768981933594,
505,barabasi_albert,50,betweenness,0.008862495422363281,
506,barabasi_albert,50,closeness,0.0021200180053710938,
507,barabasi_albert,50,eigenvector,0.0027570724487304688,
508,barabasi_albert,50,pagerank,0.004439830780029297,
509,barabasi_albert,50,harmonic,0.0030303001403808594,
510,barabasi_albert,60,degree,0.0003020763397216797,
511,barabasi_albert,60,betweenness,0.011949777603149414,
512,barabasi_albert,60,closeness,0.003097057342529297,
513,barabasi_albert,60,eigenvector,0.0037860870361328125,
514,barabasi_albert,60,pagerank,0.0036339759826660156,
515,barabasi_albert,60,harmonic,0.0041637420654296875,
516,barabasi_albert,70,degree,0.0005118846893310547,
517,barabasi_albert,70,betweenness,0.016534090042114258,
518,barabasi_albert,70,closeness,0.004123687744140625,
519,barabasi_albert,70,eigenvector,0.004492521286010742,
520,barabasi_albert,70,pagerank,0.00401616096496582,
521,barabasi_albert,70,harmonic,0.005757570266723633,
522,barabasi_albert,80,degree,0.0004105567932128906,
523,barabasi_albert,80,betweenness,0.021336078643798828,
524,barabasi_albert,80,closeness,0.005419015884399414,
525,barabasi_albert,80,eigenvector,0.004960775375366211,
526,barabasi_albert,80,pagerank,0.003793478012084961,
527,barabasi_albert,80,harmonic,0.007211923599243164,
528,barabasi_albert,90,degree,0.0006628036499023438,
529,barabasi_albert,90,betweenness,0.02705097198486328,
530,barabasi_albert,90,closeness,0.006609678268432617,
531,barabasi_albert,90,eigenvector,0.004921674728393555,
532,barabasi_albert,90,pagerank,0.0042002201080322266,
533,barabasi_albert,90,harmonic,0.009462594985961914,
534,barabasi_albert,100,degree,0.0005698204040527344,
535,barabasi_albert,100,betweenness,0.03422904014587402,
536,barabasi_albert,100,closeness,0.0075266361236572266,
537,barabasi_albert,100,eigenvector,0.006619691848754883,
538,barabasi_albert,100,pagerank,0.0041959285736083984,
539,barabasi_albert,100,harmonic,0.010987281799316406,
